1.274457551844981218e+00,2.453181394342049515e+00,2.370967018354941391e+00,2.689379756574235003e+00
1.670360117099639163e+00,4.946495597333655070e+00,4.001555595474805216e+00,5.115959619398996239e+00
1.666176240173060208e+00,1.233911454047890599e+00,2.080655254745360949e+00,1.702403508223958362e+00
1.047332807379541819e+00,3.956153419569311325e+00,2.950379938282469361e+00,3.993243214222093940e+00
1.870695918112375900e+00,3.735352039875603491e+00,3.549642923435696318e+00,4.071169280393578838e+00
5.270823935641647529e-01,2.539270490063477048e+00,1.767964469431760666e+00,2.513563846906768262e+00
8.342046913859304524e-01,2.858222653331016883e+00,2.198743932533560486e+00,2.911466380126177977e+00
4.807443451901791676e+00,1.302429066135699642e+00,4.837361847711401097e+00,2.836896975108475605e+00
2.914197277621134230e+00,4.496333249756217398e+00,4.846632923538752635e+00,5.126514977053070687e+00
5.056156038471234737e+00,1.605310855376088641e+00,5.209241024902071970e+00,3.200105494328083111e+00
